,Year,Census Region,Gender,Deaths,Population,Crude Rate
0,1999.0,Northeast,Female,861.0,27572096.0,3.1
1,1999.0,Northeast,Male,3360.0,25771679.0,13.0
3,1999.0,Midwest,Female,1172.0,32715025.0,3.6
4,1999.0,Midwest,Male,5243.0,31385036.0,16.7
6,1999.0,South,Female,2216.0,50680024.0,4.4
7,1999.0,South,Male,8962.0,48484436.0,18.5
9,1999.0,West,Female,1497.0,31270150.0,4.8
10,1999.0,West,Male,5882.0,31161722.0,18.9
13,2000.0,Northeast,Female,783.0,27697051.0,2.8
14,2000.0,Northeast,Male,3389.0,25897327.0,13.1
16,2000.0,Midwest,Female,1161.0,32837338.0,3.5
17,2000.0,Midwest,Male,5285.0,31555438.0,16.7
19,2000.0,South,Female,2313.0,51179500.0,4.5
20,2000.0,South,Male,9108.0,49057320.0,18.6
22,2000.0,West,Female,1467.0,31654454.0,4.6
23,2000.0,West,Male,5818.0,31543478.0,18.4
26,2001.0,Northeast,Female,849.0,27842388.0,3.0
27,2001.0,Northeast,Male,3463.0,26073134.0,13.3
29,2001.0,Midwest,Female,1273.0,33007638.0,3.9
30,2001.0,Midwest,Male,5651.0,31768893.0,17.8
32,2001.0,South,Female,2417.0,51972624.0,4.7
33,2001.0,South,Male,9617.0,49876951.0,19.3
35,2001.0,West,Female,1407.0,32254813.0,4.4
36,2001.0,West,Male,5884.0,32172514.0,18.3
39,2002.0,Northeast,Female,809.0,27939451.0,2.9
40,2002.0,Northeast,Male,3480.0,26204464.0,13.3
42,2002.0,Midwest,Female,1327.0,33113669.0,4.0
43,2002.0,Midwest,Male,5806.0,31904624.0,18.2
45,2002.0,South,Female,2463.0,52632821.0,4.7
46,2002.0,South,Male,9713.0,50517966.0,19.2
48,2002.0,West,Female,1646.0,32708693.0,5.0
49,2002.0,West,Male,6367.0,32603505.0,19.5
52,2003.0,Northeast,Female,861.0,28018942.0,3.1
53,2003.0,Northeast,Male,3398.0,26315511.0,12.9
55,2003.0,Midwest,Female,1244.0,33227950.0,3.7
56,2003.0,Midwest,Male,5479.0,32049004.0,17.1
58,2003.0,South,Female,2504.0,53288587.0,4.7
59,2003.0,South,Male,9727.0,51091601.0,19.0
61,2003.0,West,Female,1669.0,33143557.0,5.0
62,2003.0,West,Male,6553.0,32972781.0,19.9
65,2004.0,Northeast,Female,849.0,28051114.0,3.0
66,2004.0,Northeast,Male,3537.0,26372419.0,13.4
68,2004.0,Midwest,Female,1456.0,33337854.0,4.4
69,2004.0,Midwest,Male,5646.0,32194451.0,17.5
71,2004.0,South,Female,2647.0,54016158.0,4.9
72,2004.0,South,Male,9887.0,51867819.0,19.1
74,2004.0,West,Female,1914.0,33572160.0,5.7
75,2004.0,West,Male,6436.0,33393323.0,19.3
78,2005.0,Northeast,Female,884.0,28047433.0,3.2
79,2005.0,Northeast,Male,3523.0,26403797.0,13.3
81,2005.0,Midwest,Female,1382.0,33436821.0,4.1
82,2005.0,Midwest,Male,5899.0,32315051.0,18.3
84,2005.0,South,Female,2683.0,54827816.0,4.9
85,2005.0,South,Male,9950.0,52651955.0,18.9
87,2005.0,West,Female,1765.0,34007451.0,5.2
88,2005.0,West,Male,6479.0,33826275.0,19.2
91,2006.0,Northeast,Female,903.0,28073026.0,3.2
92,2006.0,Northeast,Male,3615.0,26449633.0,13.7
94,2006.0,Midwest,Female,1463.0,33563609.0,4.4
95,2006.0,Midwest,Male,5973.0,32464946.0,18.4
97,2006.0,South,Female,2742.0,55627404.0,4.9
98,2006.0,South,Male,10116.0,53449529.0,18.9
100,2006.0,West,Female,1863.0,34468608.0,5.4
101,2006.0,West,Male,6532.0,34283157.0,19.1
104,2007.0,Northeast,Female,981.0,28128196.0,3.5
105,2007.0,Northeast,Male,3758.0,26525166.0,14.2
107,2007.0,Midwest,Female,1477.0,33693407.0,4.4
108,2007.0,Midwest,Male,6029.0,32600282.0,18.5
110,2007.0,South,Female,2909.0,56446435.0,5.2
111,2007.0,South,Male,10461.0,54242307.0,19.3
113,2007.0,West,Female,1941.0,34898315.0,5.6
114,2007.0,West,Male,6975.0,34697099.0,20.1
117,2008.0,Northeast,Female,1029.0,28231639.0,3.6
118,2008.0,Northeast,Male,3913.0,26644287.0,14.7
120,2008.0,Midwest,Female,1516.0,33803053.0,4.5
121,2008.0,Midwest,Male,6309.0,32720882.0,19.3
123,2008.0,South,Female,2959.0,57212530.0,5.2
124,2008.0,South,Male,11041.0,54972400.0,20.1
126,2008.0,West,Female,2068.0,35356793.0,5.8
127,2008.0,West,Male,7140.0,35152382.0,20.3
130,2009.0,Northeast,Female,1018.0,28359249.0,3.6
131,2009.0,Northeast,Male,3993.0,26773852.0,14.9
133,2009.0,Midwest,Female,1537.0,33914007.0,4.5
134,2009.0,Midwest,Male,6102.0,32834430.0,18.6
136,2009.0,South,Female,3008.0,57905989.0,5.2
137,2009.0,South,Male,11538.0,55642626.0,20.7
139,2009.0,West,Female,2245.0,35784830.0,6.3
140,2009.0,West,Male,7401.0,35556546.0,20.8
143,2010.0,Northeast,Female,1106.0,28447832.0,3.9
144,2010.0,Northeast,Male,4300.0,26869408.0,16.0
146,2010.0,Midwest,Female,1694.0,33999441.0,5.0
147,2010.0,Midwest,Male,6505.0,32927560.0,19.8
149,2010.0,South,Female,3073.0,58421063.0,5.3
150,2010.0,South,Male,11687.0,56134681.0,20.8
152,2010.0,West,Female,2204.0,36095876.0,6.1
153,2010.0,West,Male,7743.0,35849677.0,21.6
156,2011.0,Northeast,Female,1186.0,28522670.0,4.2
157,2011.0,Northeast,Male,4503.0,26998928.0,16.7
159,2011.0,Midwest,Female,1723.0,34099017.0,5.1
160,2011.0,Midwest,Male,6658.0,33059818.0,20.1
162,2011.0,South,Female,3222.0,59150147.0,5.4
163,2011.0,South,Male,12021.0,56896589.0,21.1
165,2011.0,West,Female,2369.0,36529264.0,6.5
166,2011.0,West,Male,7766.0,36335484.0,21.4
169,2012.0,Northeast,Female,1233.0,28628154.0,4.3
170,2012.0,Northeast,Male,4367.0,27132937.0,16.1
172,2012.0,Midwest,Female,1744.0,34163115.0,5.1
173,2012.0,Midwest,Male,6937.0,33153182.0,20.9
175,2012.0,South,Female,3518.0,59745106.0,5.9
176,2012.0,South,Male,12315.0,57512115.0,21.4
178,2012.0,West,Female,2312.0,36885598.0,6.3
179,2012.0,West,Male,8110.0,36693833.0,22.1
182,2013.0,Northeast,Female,1326.0,28699060.0,4.6
183,2013.0,Northeast,Male,4471.0,27244013.0,16.4
185,2013.0,Midwest,Female,1849.0,34257226.0,5.4
186,2013.0,Midwest,Male,7084.0,33290664.0,21.3
188,2013.0,South,Female,3447.0,60306735.0,5.7
189,2013.0,South,Male,12417.0,58076718.0,21.4
191,2013.0,West,Female,2451.0,37214216.0,6.6
192,2013.0,West,Male,8019.0,37040207.0,21.6
195,2014.0,Northeast,Female,1388.0,28802978.0,4.8
196,2014.0,Northeast,Male,4580.0,27349355.0,16.7
198,2014.0,Midwest,Female,1913.0,34350178.0,5.6
199,2014.0,Midwest,Male,7133.0,33394930.0,21.4
201,2014.0,South,Female,3809.0,61053158.0,6.2
202,2014.0,South,Male,12873.0,58718776.0,21.9
204,2014.0,West,Female,2543.0,37714255.0,6.7
205,2014.0,West,Male,8523.0,37473426.0,22.7
208,2015.0,Northeast,Female,1485.0,28858635.0,5.1
209,2015.0,Northeast,Male,4565.0,27425256.0,16.6
211,2015.0,Midwest,Female,2048.0,34412200.0,6.0
212,2015.0,Midwest,Male,7413.0,33495203.0,22.1
214,2015.0,South,Female,3922.0,61782945.0,6.3
215,2015.0,South,Male,13415.0,59399902.0,22.6
217,2015.0,West,Female,2736.0,38135743.0,7.2
218,2015.0,West,Male,8568.0,37908936.0,22.6
221,2016.0,Northeast,Female,1435.0,28806949.0,5.0
222,2016.0,Northeast,Male,4630.0,27402561.0,16.9
224,2016.0,Midwest,Female,2094.0,34407750.0,6.1
225,2016.0,Midwest,Male,7677.0,33533679.0,22.9
227,2016.0,South,Female,4062.0,62380925.0,6.5
228,2016.0,South,Male,13495.0,59938649.0,22.5
230,2016.0,West,Female,2634.0,38452966.0,6.8
231,2016.0,West,Male,8856.0,38204034.0,23.2
234,2017.0,Northeast,Female,1506.0,28940275.0,5.2
235,2017.0,Northeast,Male,4881.0,27530306.0,17.7
237,2017.0,Midwest,Female,2073.0,34520027.0,6.0
238,2017.0,Midwest,Male,8191.0,33659324.0,24.3
240,2017.0,South,Female,4071.0,63042096.0,6.5
241,2017.0,South,Male,14400.0,60616528.0,23.8
243,2017.0,West,Female,2735.0,38808661.0,7.0
244,2017.0,West,Male,9254.0,38601961.0,24.0
247,2018.0,Northeast,Female,1431.0,28750649.0,5.0
248,2018.0,Northeast,Male,5019.0,27360430.0,18.3
250,2018.0,Midwest,Female,2181.0,34580567.0,6.3
251,2018.0,Midwest,Male,8254.0,33728177.0,24.5
253,2018.0,South,Female,4133.0,63613086.0,6.5
254,2018.0,South,Male,14955.0,61140862.0,24.5
256,2018.0,West,Female,2832.0,39094453.0,7.2
257,2018.0,West,Male,9510.0,38899210.0,24.4
260,2019.0,Northeast,Female,1398.0,28679128.0,4.9
261,2019.0,Northeast,Male,4807.0,27303675.0,17.6
263,2019.0,Midwest,Female,2059.0,34587304.0,6.0
264,2019.0,Midwest,Male,8117.0,33741700.0,24.1
266,2019.0,South,Female,4068.0,64050066.0,6.4
267,2019.0,South,Male,14639.0,61530382.0,23.8
269,2019.0,West,Female,2721.0,39265701.0,6.9
270,2019.0,West,Male,9672.0,39081567.0,24.7
273,2020.0,Northeast,Female,1220.0,28606350.0,4.3
274,2020.0,Northeast,Male,4455.0,27243519.0,16.4
276,2020.0,Midwest,Female,1937.0,34581450.0,5.6
277,2020.0,Midwest,Male,7968.0,33735294.0,23.6
279,2020.0,South,Female,3709.0,64626584.0,5.7
280,2020.0,South,Male,14754.0,62036170.0,23.8
282,2020.0,West,Female,2554.0,39413537.0,6.5
283,2020.0,West,Male,9349.0,39241219.0,23.8
